IL(ns),TCST(us),TPT(us)
2136,285,314
781,169,233
938,164,181
625,177,210
625,144,207
1614,171,245
573,182,212
625,426,214
625,174,229
625,175,212
677,175,210
625,172,514
625,183,212
625,175,225
573,170,214
573,185,227
625,174,212
625,177,214
625,177,187
625,428,225
625,173,189
625,167,212
677,184,228
573,182,212
625,151,214
573,175,212
625,177,215
573,159,209
625,174,302
625,185,206
625,194,210
677,189,367
677,196,214
625,174,210
573,189,219
625,192,195
625,184,222
625,304,183
625,179,222
625,152,217
677,253,184
625,159,212
625,426,389
625,183,218
625,151,320
625,173,211
573,185,210
625,181,210
625,180,214
625,169,125
729,185,187
677,150,216
625,179,188
625,179,219
625,194,219
625,198,214
573,186,212
625,186,215
677,193,231
573,185,228
573,151,193
625,158,384
572,189,222
572,177,188
729,404,224
625,175,216
625,155,250
625,173,223
625,156,249
625,185,281
625,152,216
573,369,246
625,184,222
1667,99,224
625,193,210
625,341,206
625,178,236
729,253,193
625,179,306
729,161,214
625,189,217
834,185,213
677,176,205
677,289,214
677,153,219
678,177,218
885,149,215
781,231,217
625,117,218
885,171,111
573,175,402
625,174,190
573,179,221
886,423,235
937,176,219
677,150,225
625,175,222
625,153,216
573,173,321
625,224,189
